"","Name","long","lat"
"1",1,-123.596541466452,39.931195515813
"2",2,-123.782135075996,40.0995336988632
"3",3,-123.773332684472,40.2446112787686
"4",4,-123.783556553698,39.9435879471405
"5",5,-123.989505499996,40.2792879625949
"6",6,-123.903486607482,40.1024307281512
"7",7,-123.669163026098,39.7911056432214
"8",8,-123.890800677635,40.0792426719249
"9",9,-123.8942151272,40.2644749769037
"10",10,-123.782795257565,39.779450011561
"11",11,-123.622565462815,39.6736184376784
"12",12,-123.960841255203,40.3216460415536
"13",13,-123.981329710037,40.3510843830565
"14",14,-123.524315356189,39.642995568995
"15",15,-123.640523615555,39.9494803506061
"16",16,-124.048948068629,40.3186711521629
"17",17,-124.033164157242,40.3577261978812
"18",18,-123.757451285736,40.0640926075346
"19",19,-123.779611800402,39.786033966601
"20",20,-123.795857927427,40.0473951998066
"21",21,-123.744630981745,40.0918166779403
"22",22,-123.72497355915,40.123030823953
"23",23,-123.970130857974,40.2397965761654
"24",24,-123.889295259392,40.1497822466673
"25",25,-123.725110057995,39.8743805224956
"26",26,-123.57028013159,39.7567722562301
"27",27,-123.989615926996,40.3540940951967
"28",28,-123.874212423433,40.2413520171697
"29",29,-123.705501474344,40.0686419467105
"30",30,-123.58264230276,39.7605949876978
"31",31,-123.78645120534,40.0337306475779
"32",32,-123.718062167062,39.7391305781572
"33",33,-123.72353259304,40.0591095241551
"34",34,-123.468416792699,39.648194682567
"35",35,-123.514029058411,39.6297601274719
"36",36,-123.900764063014,40.0250988009422
"37",37,-123.775434493302,39.9042740257319
"38",38,-123.682985329606,39.936922317931
"39",39,-123.776901597619,39.976854286987
"40",40,-123.506460556083,39.6453114138752
"41",41,-123.785817801526,40.2192058633176
"42",42,-123.791474253376,39.9910217972129
"43",43,-123.796637072237,40.1562003907241
"44",44,-123.621093998379,39.9484107231626
"45",45,-123.845266350068,40.0549886150562
"46",46,-123.646940157167,39.7321679019765
"47",47,-123.880927284544,39.9925827191955
"48",48,-123.754766201989,40.2134397490464
"49",49,-123.631672936189,39.7542342923815
"50",50,-123.616481202728,39.853180180004
"51",51,-123.664175717678,39.8924397559732
"52",52,-123.872405171137,39.9318795113063
"53",53,-123.679428562119,40.0544617207639
"54",54,-123.748549972566,39.7985085955274
"55",55,-123.841180881666,40.0706794210904
"56",56,-123.834145210975,40.2047025106562
"57",57,-124.015961813524,40.2733076017266
"58",58,-123.734806315879,39.9415319424991
"59",59,-123.77826043624,39.7938212239159
"60",60,-123.697074558974,39.7329000795364
"61",61,-123.698955908303,40.0278569443086
"62",62,-123.762096799793,40.138183751778
"63",63,-123.741726048475,40.0768524862389
"64",64,-123.865118368829,40.1530711371162
"65",65,-123.585406037079,39.6694108059224
"66",66,-123.639816041818,39.6606791095386
"67",67,-123.98686278206,40.3496229861575
"68",68,-123.498283884139,39.7541941423864
"69",69,-123.659390143381,39.9672860865061
"70",70,-123.513146915216,39.7417134846794
"71",71,-123.745667338981,40.1883959498787
"72",72,-123.741705466905,40.1958030885465
"73",73,-123.648416420584,39.6744206616219
"74",74,-123.865983318144,40.0222880050254
"75",75,-123.883319697382,40.152705846994
"76",76,-123.619959364131,39.9362631097023
"77",77,-123.774874419361,39.9943826528609
"78",78,-123.811476721972,39.9099604132378
"79",79,-123.71112592237,39.9080173169063
"80",80,-123.613365757301,39.7606330388004
"81",81,-123.799672083174,39.9198393502859
"82",82,-123.857866696092,39.9723821272455
"83",83,-123.545105989277,39.6962529694722
"84",84,-123.623678880968,39.9391609356825
"85",85,-123.880648888586,40.0176808208771
"86",86,-123.962542054696,40.3028903942492
"87",87,-123.535617995847,39.7507536357398
"88",88,-123.91132776652,40.0949659098662
"89",89,-123.623961658871,39.9457207687256
"90",90,-123.903533192966,40.0307779558267
"91",91,-124.051895544394,40.335017471055
"92",92,-123.894468403581,40.2836424805253
"93",93,-123.700019749931,39.9736149740495
"94",94,-123.849632482868,40.1495616503129
"95",95,-123.836832011711,39.9343255515528
"96",96,-123.97701485598,40.3495029627639
"97",97,-123.65268201407,40.018621440245
"98",98,-123.661325307043,39.6890720173507
"99",99,-123.843622216028,39.9334525544166
"100",100,-123.846926290374,40.2253129655933
"101",101,-123.504219088979,39.7051649081779
"102",102,-123.906117189164,40.1038076156853
"103",103,-123.651945203754,39.7724528759662
"104",104,-123.735299503856,39.9110685513976
"105",105,-123.603338355301,39.6435155060715
"106",106,-124.014160651092,40.3515660159708
"107",107,-123.634039100824,39.9126218921757
"108",108,-123.716028836326,40.1755271425397
"109",109,-123.766539423559,40.0304953800823
"110",110,-123.60162473755,39.8851700600677
"111",111,-124.046891942819,40.343732913729
"112",112,-123.778714937598,39.9757486529578
"113",113,-123.528763653654,39.7262718794725
"114",114,-123.790776750691,40.0661247936417
"115",115,-123.596564375844,39.7423688487819
"116",116,-123.782216155596,39.9986435152908
"117",117,-123.824995016955,40.1134459616667
"118",118,-123.858802131969,40.1307074909394
"119",119,-123.844065747366,40.218617179239
"120",120,-123.91488053748,40.2634891760688
"121",121,-123.571509959949,39.623037398326
"122",122,-123.897207455561,39.979336873797
"123",123,-123.598942468209,39.6475187855042
"124",124,-123.660715542482,39.7023325554809
"125",125,-123.725258180056,39.7543944140787
"126",126,-123.817251547882,40.0649455860491
"127",127,-124.001747823317,40.273845493399
"128",128,-123.701425439462,39.8384930769247
"129",129,-123.723224756721,40.1218299010952
"130",130,-123.814813553784,40.1386153380078
"131",131,-123.657753213949,39.7249605054775
"132",132,-123.837912088961,40.0681915867127
"133",133,-123.643762124282,40.031425913734
